estado,unidade,tipo_unidade,unidade_original,poblacion,tamano,medios_total,medios_urbanos,medios_rurales,medios_plurales,categoria_preliminar,filtro_bosque_pct,categoria_definitiva,_status,level_1_code,level_2_code
Guárico,José Félix Ribas (Tucupido),municipio,Guárico - José Félix Ribas (Tucupido),40222,Localidad mediana,7,4.0,4.0,2.0,Desierto,,Desierto,ok,VE12,VE1211
Guárico,José Tadeo Monagas (Altagracia de Orituco),municipio,Guárico - José Tadeo Monagas (Altagracia de Orituco),82492,Localidad mediana,13,7.0,7.0,3.0,Desierto,,Desierto,ok,VE12,VE1209
Guárico,Juan Germán Roscio (San Juan de Los Morros),municipio,Guárico - Juan Germán Roscio (San Juan de Los Morros),145327,Localidad grande,13,7.0,7.0,2.0,Desierto,,Desierto,ok,VE12,VE1212
Guárico,Julián Mellado (El Sombrero),municipio,Guárico - Julián Mellado (El Sombrero),29422,Localidad mediana,8,4.0,4.0,2.0,Desierto,,Desierto,ok,VE12,VE1207
Guárico,Las Mercedes,municipio,Guárico - Las Mercedes,36207,Localidad mediana,9,4.0,4.0,2.0,Desierto,,Desierto,ok,VE12,VE1206
Guárico,Leonardo Infante (Valle de La Pascua),municipio,Guárico - Leonardo Infante (Valle de La Pascua),137715,Localidad grande,14,9.0,9.0,2.0,Desierto,,Desierto,ok,VE12,VE1205
Guárico,Pedro Zaraza (Zaraza),municipio,Guárico - Pedro Zaraza (Zaraza),25423,Localidad mediana,10,6.0,6.0,2.0,Desierto,,Desierto,ok,VE12,VE1215
Guárico,Ortíz,municipio,Guárico - Ortíz,66589,Localidad mediana,0,0.0,0.0,2.0,Desierto,,Desierto,ok,VE12,VE1210
Guárico,San Gerónimo de Guayabal (Guayabal),municipio,Guárico - San Gerónimo de Guayabal (Guayabal),21075,Localidad pequeña,8,4.0,4.0,2.0,Desierto,,Desierto,ok,VE12,VE1204
Guárico,San José de Guaribe,municipio,Guárico - San José de Guaribe,12338,Localidad pequeña,7,4.0,4.0,2.0,Desierto,,Desierto,ok,VE12,VE1213
Guárico,Santa María de Ipire,municipio,Guárico - Santa María de Ipire,13894,Localidad pequeña,6,4.0,4.0,2.0,Desierto,,Desierto,ok,VE12,VE1214
Lara,Andrés Eloy Blanco (Sanare),municipio,Lara - Andrés Eloy Blanco (Sanare),49640,Localidad mediana,7,7.0,4.0,2.0,Desierto,,Desierto,ok,VE13,VE1301
Lara,Crespo (Duaca),municipio,Lara - Crespo (Duaca),53714,Localidad mediana,6,6.0,3.0,2.0,Desierto,,Desierto,ok,VE13,VE1302
Lara,Iribarren (Barquisimeto),municipio,Lara - Iribarren (Barquisimeto),1054915,Localidad grande,13,12.0,8.0,3.0,Desierto,,Desierto,ok,VE13,VE1303
Lara,Jiménez (Quibor),municipio,Lara - Jiménez (Quibor),106111,Localidad grande,8,8.0,3.0,2.0,Desierto,,Desierto,ok,VE13,VE1304
Lara,Morán (El Tocuyo),municipio,Lara - Morán (El Tocuyo),127031,Localidad grande,9,9.0,4.0,2.0,Desierto,,Desierto,ok,VE13,VE1305
Lara,Palavecino (Cabudare),municipio,Lara - Palavecino (Cabudare),183524,Localidad grande,13,12.0,6.0,3.0,Desierto,,Desierto,ok,VE13,VE1306
Lara,Simón Planas (Sarare),municipio,Lara - Simón Planas (Sarare),37036,Localidad mediana,6,6.0,3.0,2.0,Desierto,,Desierto,ok,VE13,VE1307
Lara,Torres (Carora),municipio,Lara - Torres (Carora),190460,Localidad grande,12,11.0,7.0,3.0,Desierto,,Desierto,ok,VE13,VE1308
Lara,Urdaneta (Siquisique),municipio,Lara - Urdaneta (Siquisique),62937,Localidad mediana,8,5.0,6.0,3.0,Desierto,,Desierto,ok,VE13,VE1309
La Guaira,Parroquia Caraballeda,municipio,La Guaira - Parroquia Caraballeda,45678,Localidad mediana,5,,,2.0,Desierto,,Desierto,ok,VE24,VE240101
La Guaira,Parroquia Carayaca,municipio,La Guaira - Parroquia Carayaca,39464,Localidad mediana,3,,,1.0,Desierto,,Desierto,ok,VE24,VE240102
La Guaira,Parroquia Carlos Soublette,municipio,La Guaira - Parroquia Carlos Soublette,29687,Localidad mediana,6,,,2.0,Desierto,,Desierto,ok,VE24,VE240111
La Guaira,Parroquia Caruao,municipio,La Guaira - Parroquia Caruao,5346,Localidad pequeña,3,,,1.0,Desierto,,Desierto,ok,VE24,VE240103
La Guaira,Parroquia Catia La Mar,municipio,La Guaira - Parroquia Catia La Mar,80263,Localidad mediana,6,,,2.0,Desierto,,Desierto,ok,VE24,VE240104
La Guaira,Parroquia El Junko,municipio,La Guaira - Parroquia El Junko,4054,Localidad pequeña,3,,,1.0,Desierto,,Desierto,ok,VE24,VE240105
La Guaira,Parroquia La Guaira,municipio,La Guaira - Parroquia La Guaira,18168,Localidad pequeña,8,,,3.0,Desierto,,Desierto,ok,VE24,VE240106
La Guaira,Parroquia Macuto,municipio,La Guaira - Parroquia Macuto,19295,Localidad pequeña,6,,,2.0,Desierto,,Desierto,ok,VE24,VE240107
La Guaira,Parroquia Maiquetía,municipio,La Guaira - Parroquia Maiquetía,33064,Localidad mediana,6,,,2.0,Desierto,,Desierto,ok,VE24,VE240108
La Guaira,Parroquia Naiguatá,municipio,La Guaira - Parroquia Naiguatá,17009,Localidad pequeña,4,,,1.0,Desierto,,Desierto,ok,VE24,VE240109
La Guaira,Parroquia Urimare,municipio,La Guaira - Parroquia Urimare,46491,Localidad mediana,5,,,2.0,Desierto,,Desierto,ok,VE24,VE240110
Mérida,Adriani (El Vigía),municipio,Mérida - Adriani (El Vigía),137675,Localidad grande,23,23.0,10.0,5.0,Desierto,,Desierto,ok,VE14,VE1401
Mérida,Andrés Bello (La Azulita),municipio,Mérida - Andrés Bello (La Azulita),14203,Localidad pequeña,15,13.0,6.0,3.0,Desierto,,Desierto,ok,VE14,VE1402
Mérida,Aricagua,municipio,Mérida - Aricagua,4202,Localidad pequeña,15,13.0,6.0,2.0,Desierto,,Desierto,ok,VE14,VE1404
Mérida,Briceño (Torondoy),municipio,Mérida - Briceño (Torondoy),4911,Localidad pequeña,10,7.0,6.0,1.0,Desierto,,Desierto,ok,VE14,VE1411
Mérida,Chacón (Canaguá),municipio,Mérida - Chacón (Canaguá),12971,Localidad pequeña,16,11.0,12.0,1.0,Desierto,,Desierto,ok,VE14,VE1405
Mérida,Campo Elías (Ejido),municipio,Mérida - Campo Elías (Ejido),110163,Localidad grande,26,25.0,12.0,6.0,Semidesierto,,Semidesierto,ok,VE14,VE1406
Mérida,Dávila (Bailadores),municipio,Mérida - Dávila (Bailadores),20662,Localidad pequeña,18,16.0,10.0,3.0,Desierto,,Desierto,ok,VE14,VE1418
Mérida,Febres Cordero (Nueva Bolivia),municipio,Mérida - Febres Cordero (Nueva Bolivia),33309,Localidad mediana,12,12.0,4.0,1.0,Desierto,,Desierto,ok,VE14,VE1422
